#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,Year
1.0,Chadwick Tromp,ATL,1.0,4.0,4.0,3.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2022
2.0,Otto Lopez,TOR,8.0,9.0,10.0,6.0,6.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.667,2022
3.0,Khalil Lee,NYM,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2022
4.0,James Outman,LAD,4.0,13.0,16.0,6.0,3.0,2.0,0.0,1.0,6.0,3.0,2.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.462,2022
5.0,Livan Soto,LAA,18.0,55.0,59.0,22.0,15.0,5.0,1.0,1.0,9.0,9.0,2.0,0.0,13.0,0.0,1.0,1.0,1.0,1.0,1.0,0.4,2022
6.0,Austin Dean,SFG,3.0,8.0,9.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,2022
7.0,Will Brennan,CLE,11.0,42.0,45.0,15.0,12.0,1.0,1.0,1.0,6.0,8.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,0.357,2022
8.0,David Hensley,HOU,16.0,29.0,34.0,10.0,6.0,2.0,1.0,1.0,7.0,5.0,5.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.345,2022
9.0,Rob Brantly,NYY,1.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,2022
10.0,Brian O'Keefe,SEA,2.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,2022
11.0,Jaylin Davis,BOS,12.0,24.0,27.0,8.0,7.0,1.0,0.0,0.0,4.0,2.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,2022
12.0,Dalton Guthrie,PHI,14.0,21.0,28.0,7.0,6.0,0.0,0.0,1.0,3.0,5.0,6.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.333,2022
13.0,Ji Hwan Bae,PIT,10.0,33.0,37.0,11.0,8.0,3.0,0.0,0.0,5.0,6.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,3.0,0.0,0.333,2022
14.0,Liover Peguero,PIT,1.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,2022
15.0,Jeff McNeil,NYM,148.0,533.0,589.0,174.0,125.0,39.0,1.0,9.0,73.0,62.0,40.0,1.0,61.0,11.0,5.0,0.0,6.0,4.0,0.0,0.326,2022
16.0,Freddie Freeman,LAD,159.0,612.0,708.0,199.0,129.0,47.0,2.0,21.0,117.0,100.0,84.0,12.0,102.0,5.0,7.0,0.0,6.0,13.0,3.0,0.325,2022
17.0,Joey Meneses,WSN,56.0,222.0,240.0,72.0,45.0,14.0,0.0,13.0,33.0,34.0,15.0,2.0,52.0,1.0,2.0,0.0,13.0,1.0,0.0,0.324,2022
18.0,Tyler Stephenson,CIN,50.0,166.0,183.0,53.0,38.0,9.0,0.0,6.0,24.0,35.0,12.0,0.0,47.0,3.0,2.0,0.0,4.0,1.0,0.0,0.319,2022
19.0,Gabriel Moreno,TOR,25.0,69.0,73.0,22.0,20.0,1.0,0.0,1.0,10.0,7.0,4.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.319,2022
20.0,Maikel Garcia,KCR,9.0,22.0,23.0,7.0,6.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.318,2022
21.0,Paul Goldschmidt,STL,151.0,561.0,651.0,178.0,102.0,41.0,0.0,35.0,106.0,115.0,79.0,1.0,141.0,5.0,4.0,0.0,7.0,7.0,0.0,0.317,2022
22.0,Luis Arraez,MIN,144.0,547.0,603.0,173.0,133.0,31.0,1.0,8.0,88.0,49.0,50.0,2.0,43.0,3.0,3.0,0.0,6.0,4.0,4.0,0.316,2022
23.0,Garrett Mitchell,MIL,28.0,61.0,68.0,19.0,14.0,3.0,0.0,2.0,9.0,9.0,6.0,0.0,28.0,0.0,0.0,1.0,0.0,8.0,0.0,0.311,2022
24.0,Aaron Judge,NYY,157.0,570.0,696.0,177.0,87.0,28.0,0.0,62.0,133.0,131.0,111.0,19.0,175.0,6.0,5.0,0.0,14.0,16.0,3.0,0.311,2022
25.0,Conner Capel,- - -,22.0,52.0,59.0,16.0,12.0,0.0,1.0,3.0,7.0,11.0,5.0,0.0,10.0,0.0,2.0,0.0,2.0,1.0,1.0,0.308,2022
26.0,Rob Refsnyder,BOS,57.0,153.0,177.0,47.0,30.0,11.0,0.0,6.0,25.0,21.0,15.0,0.0,46.0,6.0,3.0,0.0,1.0,1.0,1.0,0.307,2022
27.0,Xander Bogaerts,BOS,150.0,557.0,631.0,171.0,118.0,38.0,0.0,15.0,84.0,73.0,57.0,2.0,118.0,10.0,7.0,0.0,14.0,8.0,2.0,0.307,2022
28.0,Yordan Alvarez,HOU,135.0,470.0,561.0,144.0,76.0,29.0,2.0,37.0,95.0,97.0,78.0,9.0,106.0,6.0,7.0,0.0,12.0,1.0,1.0,0.306,2022
29.0,Kris Bryant,COL,42.0,160.0,181.0,49.0,32.0,12.0,0.0,5.0,28.0,14.0,17.0,0.0,27.0,2.0,2.0,0.0,7.0,0.0,0.0,0.306,2022
30.0,Oswald Peraza,NYY,18.0,49.0,57.0,15.0,11.0,3.0,0.0,1.0,8.0,2.0,6.0,0.0,9.0,2.0,0.0,0.0,3.0,2.0,0.0,0.306,2022
31.0,Dee Strange-Gordon,WSN,23.0,59.0,59.0,18.0,16.0,1.0,1.0,0.0,6.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,3.0,2.0,0.305,2022
32.0,Matt Carpenter,NYY,47.0,128.0,154.0,39.0,15.0,9.0,0.0,15.0,28.0,37.0,19.0,1.0,35.0,5.0,1.0,1.0,2.0,0.0,0.0,0.305,2022
33.0,Jose Abreu,CHW,157.0,601.0,679.0,183.0,128.0,40.0,0.0,15.0,85.0,75.0,62.0,2.0,110.0,12.0,4.0,0.0,19.0,0.0,0.0,0.304,2022
34.0,Andrew Benintendi,- - -,126.0,461.0,521.0,140.0,109.0,23.0,3.0,5.0,54.0,51.0,52.0,0.0,77.0,2.0,5.0,1.0,7.0,8.0,3.0,0.304,2022
35.0,Tom Murphy,SEA,14.0,33.0,42.0,10.0,7.0,2.0,0.0,1.0,9.0,1.0,8.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.303,2022
36.0,Nathaniel Lowe,TEX,157.0,593.0,645.0,179.0,123.0,26.0,3.0,27.0,74.0,76.0,48.0,2.0,147.0,4.0,0.0,0.0,10.0,2.0,2.0,0.302,2022
37.0,Tim Anderson,CHW,79.0,332.0,351.0,100.0,81.0,13.0,0.0,6.0,50.0,25.0,14.0,1.0,55.0,5.0,0.0,0.0,10.0,13.0,0.0,0.301,2022
38.0,Yonathan Daza,COL,113.0,372.0,408.0,112.0,87.0,21.0,2.0,2.0,56.0,34.0,26.0,0.0,58.0,4.0,5.0,1.0,12.0,0.0,3.0,0.301,2022
39.0,Harold Ramirez,TBR,120.0,403.0,435.0,121.0,91.0,24.0,0.0,6.0,46.0,58.0,19.0,1.0,72.0,9.0,4.0,0.0,5.0,3.0,5.0,0.3,2022
40.0,Dustin Garneau,DET,8.0,10.0,11.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,2022
41.0,Joe Dunand,MIA,3.0,10.0,11.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,2022
42.0,Royce Lewis,MIN,12.0,40.0,41.0,12.0,6.0,4.0,0.0,2.0,5.0,5.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.3,2022
43.0,Jose Altuve,HOU,141.0,527.0,604.0,158.0,91.0,39.0,0.0,28.0,103.0,57.0,66.0,2.0,87.0,10.0,1.0,0.0,13.0,18.0,1.0,0.3,2022
44.0,Steven Kwan,CLE,147.0,563.0,638.0,168.0,130.0,25.0,7.0,6.0,89.0,52.0,62.0,2.0,60.0,7.0,4.0,2.0,9.0,19.0,5.0,0.298,2022
