#,Name,Team,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,Year
1.0,Adam Ottavino,NYY,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,9.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,2025
2.0,Casey Kelly,ARI,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2025
3.0,Luke Maile,KCR,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2025
4.0,Tomas Nido,DET,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2025
5.0,Hunter Harvey,KCR,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,5.0,0.0,10.2,39.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,2025
6.0,Nick Burdi,BOS,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,21.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0,2025
7.0,Zach Thompson,ATL,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,2025
8.0,Austin Slater,NYY,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
9.0,Isiah Kiner-Falefa,TOR,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
10.0,Willi Castro,MIN,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
11.0,Ryan Burr,TOR,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2025
12.0,Evan Phillips,LAD,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,2.0,0.0,5.2,22.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,2025
13.0,Jose Quijada,LAA,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1,8.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2025
14.0,Garrett Hampson,STL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
15.0,Nicky Lopez,LAA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2025
16.0,Weston Wilson,PHI,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
17.0,Zach McKinstry,DET,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
18.0,Reiver Sanmartin,CIN,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,8.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2025
19.0,Alex Lange,DET,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2025
20.0,Miles Mastrobuoni,SEA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2025
21.0,Alan Trejo,COL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
22.0,Jhonathan Diaz,SEA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2025
23.0,Nick Raquet,STL,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2025
24.0,Jared Young,NYM,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2025
25.0,Leo Rivas,SEA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2025
26.0,Jose Espada,BAL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2025
27.0,Cesar Salazar,HOU,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2025
28.0,Jacob Amaya,CHW,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
29.0,Luis Vazquez,BAL,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,14.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2025
30.0,Ezequiel Duran,TEX,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
31.0,Anthony Seigler,MIL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
32.0,Ryan Fitzgerald,MIN,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
33.0,Willie MacIver,ATH,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
34.0,Nate Eaton,BOS,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
35.0,Michael Stefanic,TOR,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
36.0,Jared Triolo,PIT,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2025
37.0,Logan Davidson,LAA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2025
38.0,Austin Pope,ARI,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2025
39.0,Garrett Acton,TBR,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2025
40.0,Alec Burleson,STL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2025
41.0,Christian Koss,SFG,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
42.0,Christian Roa,MIA,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,2025
43.0,Niko Kavadas,LAA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,9.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2025
44.0,Dominic Hamel,NYM,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2025
45.0,Christian Montes De Oca,ARI,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2025
46.0,Hunter Barco,PIT,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2025
47.0,Justin Lawrence,PIT,1.0,0.0,0.51,17.0,0.0,0.0,0.0,0.0,6.0,1.0,17.2,69.0,9.0,1.0,1.0,0.0,8.0,2.0,2.0,2.0,0.0,23.0,2025
48.0,Ron Marinaccio,SDP,0.0,0.0,0.84,7.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,42.0,6.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,12.0,2025
