,Unnamed: 0,#,Name,Team,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,Year
54,56,55,Shawn Armstrong,TBR,1,0,1.38,39,6,0,0,0,6,2,52.0,207,36,12,8,2,11,0,4,0,0,54,2023
83,85,84,Blake Snell,SDP,14,9,2.25,32,32,0,0,0,0,0,180.0,742,115,47,45,15,99,0,3,13,2,234,2023
88,90,89,Brandon Woodruff,MIL,5,1,2.28,11,11,1,1,0,0,0,67.0,253,40,17,17,9,15,0,3,0,0,74,2023
97,99,98,Clayton Kershaw,LAD,13,5,2.46,24,24,0,0,0,0,0,131.2,523,100,39,36,19,40,0,3,6,2,137,2023
101,103,102,Max Fried,ATL,8,1,2.55,14,14,1,1,0,0,0,77.2,311,70,24,22,7,18,0,2,3,0,80,2023
109,111,110,Drew Rasmussen,TBR,4,2,2.62,8,8,0,0,0,0,0,44.2,177,36,13,13,2,11,0,1,2,0,47,2023
110,112,111,Dustin May,LAD,4,1,2.63,9,9,0,0,0,0,0,48.0,187,29,14,14,1,16,0,2,1,0,34,2023
111,113,112,Gerrit Cole,NYY,15,4,2.63,33,33,2,2,0,0,0,209.0,821,157,64,61,20,48,0,7,4,1,222,2023
117,119,118,Jacob deGrom,TEX,2,0,2.67,6,6,0,0,0,0,0,30.1,115,19,11,9,2,4,0,0,1,0,45,2023
126,128,127,Michael King,NYY,4,8,2.75,49,9,0,0,6,8,4,104.2,431,88,35,32,10,32,1,5,2,1,127,2023
127,129,128,Sonny Gray,MIN,8,8,2.79,32,32,0,0,0,0,0,184.0,754,156,59,57,8,55,0,6,6,1,183,2023
129,131,130,Tarik Skubal,DET,7,3,2.8,15,15,0,0,0,0,0,80.1,310,58,28,25,4,14,0,3,1,0,102,2023
133,135,134,Kyle Bradish,BAL,12,7,2.83,30,30,0,0,0,0,0,168.2,671,132,54,53,14,44,0,8,9,0,168,2023
138,140,139,Joey Lucchesi,NYM,4,0,2.89,9,9,0,0,0,0,0,46.2,195,44,17,15,4,17,0,2,1,1,32,2023
144,146,145,Kodai Senga,NYM,12,7,2.98,29,29,0,0,0,0,0,166.1,694,126,60,55,17,77,0,5,14,1,202,2023
145,147,146,Tanner Bibee,CLE,10,4,2.98,25,25,0,0,0,0,0,142.0,585,122,49,47,13,45,0,5,7,2,141,2023
147,149,148,Austin Pruitt,OAK,2,6,2.98,38,6,0,0,0,4,1,48.1,196,44,18,16,5,12,1,1,1,0,30,2023
162,164,163,Javier Assad,CHC,5,3,3.05,32,10,0,0,0,2,1,109.1,449,93,38,37,13,41,1,3,3,1,94,2023
163,165,164,Joe Musgrove,SDP,10,3,3.05,17,17,0,0,0,0,0,97.1,399,90,35,33,10,21,1,9,2,1,97,2023
167,169,168,Justin Steele,CHC,16,5,3.06,30,30,0,0,0,0,0,173.1,716,167,71,59,14,36,0,7,9,1,176,2023
176,178,177,Shohei Ohtani,LAA,10,5,3.14,23,23,1,1,0,0,0,132.0,531,85,50,46,18,55,0,11,12,0,167,2023
178,180,179,Wade Miley,MIL,9,4,3.14,23,23,0,0,0,0,0,120.1,490,99,44,42,16,38,0,3,2,0,79,2023
179,181,180,Eury Perez,MIA,5,6,3.15,19,19,0,0,0,0,0,91.1,374,72,35,32,15,31,0,2,6,1,108,2023
181,183,182,Kevin Gausman,TOR,12,9,3.16,31,31,0,0,0,0,0,185.0,763,163,72,65,19,55,0,3,3,2,237,2023
183,185,184,Jordan Montgomery,- - -,10,11,3.2,32,32,0,0,0,0,0,188.2,777,177,75,67,18,48,0,4,6,0,166,2023
184,186,185,Brennan Bernardino,BOS,2,1,3.2,55,6,0,0,0,4,0,50.2,216,48,19,18,4,18,1,6,3,0,58,2023
187,189,188,Justin Verlander,- - -,13,8,3.22,27,27,0,0,0,0,0,162.1,669,139,63,58,18,45,0,5,5,0,144,2023
188,190,189,Michael Wacha,SDP,14,4,3.22,24,24,0,0,0,0,0,134.1,553,113,49,48,15,43,0,3,3,1,124,2023
189,191,190,Pedro Avila,SDP,2,2,3.22,14,6,0,0,0,0,0,50.1,220,43,23,18,3,25,0,5,5,1,54,2023
192,194,193,Ryan Walker,SFG,5,3,3.23,49,13,0,0,1,2,1,61.1,263,61,25,22,8,24,0,2,3,0,78,2023
194,196,195,Logan Webb,SFG,11,13,3.25,33,33,2,1,0,0,0,216.0,850,201,83,78,20,31,0,5,1,0,194,2023
200,202,201,Matt Strahm,PHI,9,5,3.29,56,10,0,0,2,11,3,87.2,351,68,34,32,11,21,0,3,1,1,108,2023
201,203,202,Shane McClanahan,TBR,11,2,3.29,21,21,0,0,0,0,0,115.0,469,95,42,42,15,41,0,0,1,0,121,2023
204,206,205,Merrill Kelly,ARI,12,8,3.29,30,30,0,0,0,0,0,177.2,722,143,71,65,20,69,0,4,3,4,187,2023
205,207,206,Gavin Williams,CLE,3,5,3.29,16,16,0,0,0,0,0,82.0,345,66,32,30,8,37,1,4,3,0,81,2023
206,208,207,Eduardo Rodriguez,DET,13,9,3.3,26,26,0,0,0,0,0,152.2,621,128,59,56,15,48,0,3,3,0,143,2023
212,214,213,Luis Castillo,SEA,14,9,3.34,33,33,0,0,0,0,0,197.0,802,160,81,73,28,56,0,5,3,0,219,2023
214,216,215,George Kirby,SEA,13,10,3.35,31,31,1,0,0,0,0,190.2,757,179,74,71,22,19,1,6,1,0,172,2023
223,225,224,Corbin Burnes,MIL,10,8,3.39,32,32,0,0,0,0,0,193.2,784,141,77,73,22,66,0,8,10,1,200,2023
224,226,225,Nick Martinez,SDP,6,4,3.43,63,9,0,0,1,15,6,110.1,461,99,45,42,12,40,1,3,3,0,106,2023
225,227,226,Bailey Ober,MIN,8,6,3.43,26,26,0,0,0,0,0,144.1,577,125,58,55,22,29,0,7,1,0,146,2023
226,228,227,Caleb Ferguson,LAD,7,4,3.43,68,7,0,0,3,17,5,60.1,270,64,30,23,4,23,0,8,3,0,70,2023
227,229,228,Cristopher Sanchez,PHI,3,5,3.44,19,18,0,0,0,0,0,99.1,396,88,44,38,16,16,0,3,3,0,96,2023
229,231,230,Framber Valdez,HOU,12,11,3.45,31,31,2,2,0,0,0,198.0,808,166,86,76,19,57,0,10,6,0,200,2023
230,232,231,Aaron Civale,- - -,7,5,3.46,23,23,0,0,0,0,0,122.1,504,109,47,47,12,33,0,5,5,0,116,2023
231,233,232,Hyun-Jin Ryu,TOR,3,3,3.46,11,11,0,0,0,0,0,52.0,224,53,25,20,9,14,0,1,1,0,38,2023
232,234,233,Cole Ragans,- - -,7,5,3.47,29,12,0,0,0,3,0,96.0,392,70,40,37,7,41,1,2,6,0,113,2023
233,235,234,Zac Gallen,ARI,17,9,3.47,34,34,1,1,0,0,0,210.0,846,188,87,81,22,47,0,5,8,1,220,2023
235,237,236,Zach Eflin,TBR,16,8,3.5,31,31,0,0,0,0,0,177.2,703,158,69,69,19,24,1,3,0,0,186,2023
238,240,239,Tyler Glasnow,TBR,10,7,3.53,21,21,0,0,0,0,0,120.0,485,93,52,47,13,37,0,1,11,0,162,2023
242,244,243,Seth Lugo,SDP,8,7,3.57,26,26,0,0,0,0,0,146.1,604,140,62,58,19,36,0,3,3,0,140,2023
243,245,244,Jose Quintana,NYM,3,6,3.57,13,13,0,0,0,0,0,75.2,319,75,33,30,5,24,0,1,2,0,60,2023
244,246,245,Jesus Luzardo,MIA,10,10,3.58,32,32,0,0,0,0,0,178.2,741,162,79,71,22,55,1,6,7,1,208,2023
245,247,246,Matt Manning,DET,5,4,3.58,15,15,0,0,0,0,0,78.0,316,60,37,31,11,21,0,5,0,0,50,2023
248,250,249,Chris Bassitt,TOR,16,8,3.6,33,33,1,1,0,0,0,200.0,826,176,88,80,28,59,2,12,4,3,186,2023
252,254,253,Zack Wheeler,PHI,13,6,3.61,32,32,0,0,0,0,0,192.0,787,168,82,77,20,39,0,9,1,0,212,2023
257,259,258,Nathan Eovaldi,TEX,12,5,3.63,25,25,2,1,0,0,0,144.0,577,117,59,58,15,47,0,6,2,0,132,2023
260,262,261,Charlie Morton,ATL,14,12,3.64,30,30,0,0,0,0,0,163.1,716,150,70,66,14,83,2,12,4,2,183,2023
261,263,262,Tyler Wells,BAL,7,6,3.64,25,20,0,0,1,0,0,118.2,470,83,50,48,25,34,0,4,3,2,117,2023
263,265,264,Jose Butto,NYM,1,4,3.64,9,7,0,0,0,0,0,42.0,179,33,17,17,3,23,0,0,0,0,38,2023
264,266,265,Jose Berrios,TOR,11,12,3.65,32,32,0,0,0,0,0,189.2,782,173,82,77,25,52,3,9,4,1,184,2023
266,268,267,Braxton Garrett,MIA,9,7,3.66,31,30,0,0,0,0,0,159.2,659,154,68,65,20,29,0,11,4,0,156,2023
267,269,268,Pablo Lopez,MIN,11,8,3.66,32,32,1,1,0,0,0,194.0,801,176,81,79,24,48,1,9,7,0,234,2023
274,276,275,Dane Dunning,TEX,12,7,3.7,35,26,0,0,0,2,0,172.2,722,163,73,71,20,55,0,10,6,0,140,2023
279,281,280,Logan Gilbert,SEA,13,7,3.73,32,32,1,1,0,0,0,190.2,770,169,82,79,29,36,1,2,6,0,189,2023
281,283,282,Kyle Hendricks,CHC,6,8,3.74,24,24,0,0,0,0,0,137.0,578,138,68,57,13,27,0,4,0,0,93,2023
285,287,286,Bobby Miller,LAD,11,4,3.76,22,22,0,0,0,0,0,124.1,505,105,53,52,12,32,0,6,10,0,119,2023
288,290,289,Mike Clevinger,CHW,9,9,3.77,24,24,2,0,0,0,0,131.1,549,121,56,55,16,40,0,9,6,0,110,2023
289,291,290,Max Scherzer,- - -,13,6,3.77,27,27,0,0,0,0,0,152.2,621,126,65,64,28,45,0,4,2,0,174,2023
292,294,293,Mason Miller,OAK,0,3,3.78,10,6,0,0,0,1,0,33.1,139,24,15,14,2,16,0,3,3,0,38,2023
294,296,295,Shane Bieber,CLE,6,6,3.8,21,21,1,0,0,0,0,128.0,533,124,56,54,14,34,0,3,8,1,107,2023
295,297,296,Logan Allen,CLE,7,8,3.81,24,24,0,0,0,0,0,125.1,537,127,55,53,16,48,0,1,1,0,119,2023
297,299,298,Bryce Elder,ATL,12,4,3.81,31,31,0,0,0,0,0,174.2,732,160,79,74,19,63,0,8,11,1,128,2023
300,302,301,Brandon Bielak,HOU,5,6,3.82,15,13,0,0,0,0,0,80.0,353,86,43,34,12,36,0,5,3,0,62,2023
301,303,302,J.P. France,HOU,11,6,3.83,24,23,0,0,0,0,0,136.1,581,138,64,58,19,47,0,2,6,0,101,2023
303,305,304,Freddy Peralta,MIL,12,10,3.86,30,30,0,0,0,0,0,165.2,680,131,77,71,26,54,0,6,6,1,210,2023
304,306,305,Spencer Strider,ATL,20,5,3.86,32,32,0,0,0,0,0,186.2,763,146,85,80,22,58,1,9,6,2,281,2023
308,310,309,Steven Matz,STL,4,7,3.86,25,17,0,0,0,0,0,105.0,449,108,48,45,11,32,0,3,2,2,98,2023
312,314,313,Vince Velasquez,PIT,4,4,3.86,8,8,0,0,0,0,0,37.1,162,35,16,16,4,14,0,1,2,0,37,2023
317,319,318,Yusei Kikuchi,TOR,11,6,3.86,32,32,0,0,0,0,0,167.2,700,165,78,72,27,48,0,4,7,0,181,2023
318,320,319,Alex Cobb,SFG,7,7,3.87,28,28,2,1,0,0,0,151.1,646,163,69,65,19,37,0,6,7,5,131,2023
319,321,320,Andrew Abbott,CIN,8,6,3.87,21,21,0,0,0,0,0,109.1,459,100,47,47,16,44,0,1,1,1,120,2023
324,326,325,Josiah Gray,WSN,8,13,3.91,30,30,0,0,0,0,0,159.0,698,152,72,69,22,80,1,9,9,0,143,2023
328,330,329,Marcus Stroman,CHC,10,9,3.95,27,25,1,1,0,0,1,136.2,575,120,68,60,9,52,0,3,3,0,119,2023
329,331,330,Chase Silseth,LAA,4,1,3.96,16,8,0,0,0,1,1,52.1,221,41,26,23,9,26,0,2,5,1,56,2023
333,335,334,John Brebbia,SFG,3,5,3.99,40,10,0,0,0,6,1,38.1,161,31,21,17,6,14,2,0,0,0,47,2023
335,337,336,Reese Olson,DET,5,7,3.99,21,18,0,0,0,1,0,103.2,422,83,49,46,14,33,0,1,4,1,103,2023
340,342,341,Luis Garcia,HOU,2,2,4.0,6,6,0,0,0,0,0,27.0,115,25,12,12,3,10,0,1,0,1,31,2023
345,347,346,Kutter Crawford,BOS,6,8,4.04,31,23,0,0,0,2,0,129.1,527,107,59,58,17,36,0,5,4,0,135,2023
346,348,347,Nick Pivetta,BOS,10,9,4.04,38,16,0,0,1,2,1,142.2,587,110,69,64,23,50,1,6,5,1,183,2023
354,356,355,Xzavion Curry,CLE,3,4,4.07,41,9,0,0,0,0,0,95.0,404,98,47,43,12,30,1,2,3,2,67,2023
358,360,359,Zack Littell,- - -,3,6,4.1,28,14,0,0,0,0,0,90.0,379,94,43,41,13,12,1,4,4,0,74,2023
359,361,360,Patrick Sandoval,LAA,7,13,4.11,28,28,0,0,0,0,0,144.2,652,145,89,66,12,74,2,4,5,0,128,2023
360,362,361,Dean Kremer,BAL,13,5,4.12,32,32,0,0,0,0,0,172.2,735,171,85,79,27,55,0,5,5,0,157,2023
362,364,363,Jon Gray,TEX,9,8,4.12,29,29,1,0,0,0,0,157.1,656,149,75,72,22,54,1,9,4,0,142,2023
363,365,364,Adrian Houser,MIL,8,5,4.12,23,21,0,0,0,0,0,111.1,481,121,56,51,13,34,0,1,2,0,96,2023
366,368,367,Sandy Alcantara,MIA,7,12,4.14,28,28,3,1,0,0,0,184.2,762,176,91,85,22,48,0,5,4,1,151,2023
367,369,368,Tommy Henry,ARI,5,4,4.15,17,16,0,0,0,0,0,89.0,381,86,42,41,12,35,2,4,1,0,64,2023
368,370,369,Andrew Heaney,TEX,10,6,4.15,34,28,0,0,0,2,1,147.1,641,143,74,68,23,60,0,10,3,0,151,2023
370,372,371,Kyle Harrison,SFG,1,1,4.15,7,7,0,0,0,0,0,34.2,147,29,19,16,8,11,0,4,0,0,35,2023
372,374,373,Ranger Suarez,PHI,4,6,4.18,22,22,0,0,0,0,0,125.0,540,129,59,58,13,48,0,2,4,0,119,2023
373,375,374,Michael Lorenzen,- - -,9,9,4.18,29,25,1,1,1,0,0,153.0,624,138,76,71,20,47,0,2,4,1,111,2023
379,381,380,Bryan Woo,SEA,4,5,4.21,18,18,0,0,0,0,0,87.2,371,75,44,41,13,31,1,7,1,0,93,2023
380,382,381,Mitch Keller,PIT,13,9,4.21,32,32,1,1,0,0,0,194.1,825,187,97,91,25,55,0,12,5,1,210,2023
