#_x,Name,Team_x,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA_x,FIP,E-F,xFIP,SIERA,Year_x,#_y,Team_y,W,L,ERA_y,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,Year_y,ERA
"
				
					
				
					1
				
					
				
					Page size:
						select1020501000
					
				
					  863 items in 1 pages
				
			",,,,,,,,,,,,,,,,,,,,,,2023,"
				
					
				
					1
				
					
				
					Page size:
						select1020501000
					
				
					  863 items in 1 pages
				
			",,,,,,,,,,,,,,,,,,,,,,,,2023,
"
				
					
				
					1
				
					
				
					Page size:
						select1020501000
					
				
					  863 items in 1 pages
				
			",,,,,,,,,,,,,,,,,,,,,,2023,"
				
					
				
					1
				
					
				
					Page size:
						select1020501000
					
				
					  863 items in 1 pages
				
			",,,,,,,,,,,,,,,,,,,,,,,,2023,
"
				
					
				
					1
				
					
				
					Page size:
						select1020501000
					
				
					  863 items in 1 pages
				
			",,,,,,,,,,,,,,,,,,,,,,2023,"
				
					
				
					1
				
					
				
					Page size:
						select1020501000
					
				
					  863 items in 1 pages
				
			",,,,,,,,,,,,,,,,,,,,,,,,2023,
"
				
					
				
					1
				
					
				
					Page size:
						select1020501000
					
				
					  863 items in 1 pages
				
			",,,,,,,,,,,,,,,,,,,,,,2023,"
				
					
				
					1
				
					
				
					Page size:
						select1020501000
					
				
					  863 items in 1 pages
				
			",,,,,,,,,,,,,,,,,,,,,,,,2023,
1,Guillermo Zuniga,STL,18.00,0.00,4.00,0.00,50.0%,0.0%,50.0%,.250,1.00,.500,50.0%,105,-17,21,4.50,-0.74,5.24,0.91,1.02,2023,443,STL,0,0,4.50,2,0,0,0,0,0,0,2.0,8,2,1,1,0,0,0,0,0,0,4,2023,4.5
2,Chris Vallimont,BAL,13.50,0.00,1.00,0.00,50.0%,0.0%,50.0%,.500,1.50,1.000,100.0%,0,6,6,0.00,0.26,-0.26,0.26,0.79,2023,37,BAL,0,0,0.00,1,0,0,0,0,0,0,0.2,2,1,0,0,0,0,0,0,0,0,1,2023,0.0
3,Elvin Rodriguez,TBR,13.50,0.00,5.00,0.00,50.0%,0.0%,50.0%,.000,0.00,.000,100.0%,0,6,41,0.00,0.26,-0.26,1.74,0.93,2023,26,TBR,0,0,0.00,1,0,0,0,0,0,0,3.1,10,0,0,0,0,0,0,0,0,0,5,2023,0.0
4,Kyle Hurt,LAD,13.50,0.00,3.00,0.00,50.0%,0.0%,50.0%,.000,0.00,.000,100.0%,0,6,25,0.00,0.26,-0.26,1.08,0.70,2023,42,LAD,0,0,0.00,1,0,0,0,0,0,0,2.0,6,0,0,0,0,0,0,0,0,0,3,2023,0.0
5,Yoendrys Gomez,NYY,18.00,0.00,4.00,0.00,50.0%,0.0%,50.0%,.143,0.50,.333,100.0%,0,17,37,0.00,0.76,-0.76,1.58,0.79,2023,32,NYY,0,0,0.00,1,0,0,0,0,0,0,2.0,8,1,0,0,0,0,0,1,0,0,4,2023,0.0
6,Tyler Cyr,LAD,10.80,0.00,2.00,0.00,33.3%,0.0%,33.3%,.167,0.60,.250,100.0%,0,19,42,0.00,0.86,-0.86,1.85,1.36,2023,20,LAD,0,0,0.00,2,0,0,0,0,0,0,1.2,6,1,0,0,0,0,0,0,0,0,2,2023,0.0
7,Alek Jacob,SDP,15.00,3.00,5.00,0.00,50.0%,10.0%,40.0%,.000,0.33,.000,100.0%,0,21,34,0.00,0.92,-0.92,1.47,1.65,2023,44,SDP,0,0,0.00,3,0,0,0,0,0,0,3.0,10,0,0,0,0,1,0,0,0,0,5,2023,0.0
8,Rowdy Tellez,MIL,9.00,0.00,1.00,0.00,25.0%,0.0%,25.0%,.250,1.00,.333,100.0%,0,28,104,0.00,1.26,-1.26,4.56,4.69,2023,16,MIL,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,2023,0.0
9,Nate Eaton,KCR,9.00,0.00,1.00,0.00,20.0%,0.0%,20.0%,.400,2.00,.500,100.0%,0,29,29,0.00,1.26,-1.26,1.26,0.99,2023,38,KCR,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,0,0,0,0,0,1,2023,0.0
10,Orion Kerkering,PHI,18.00,6.00,3.00,0.00,42.9%,14.3%,28.6%,.250,1.67,.500,80.0%,69,28,29,3.00,1.26,1.74,1.26,2.55,2023,152,PHI,1,0,3.00,3,0,0,0,0,1,0,3.0,14,3,1,1,0,2,0,0,0,0,6,2023,3.0
11,Thomas Pannone,MIL,13.50,3.38,4.00,0.00,28.6%,7.1%,21.4%,.385,2.25,.556,66.7%,154,31,88,6.75,1.38,5.37,3.86,3.24,2023,701,MIL,0,0,6.75,1,0,0,0,0,1,0,2.2,14,5,2,2,0,1,0,0,2,0,4,2023,8.181818181818182
12,Sean Reid-Foley,NYM,18.78,7.04,2.67,0.00,47.1%,17.6%,29.4%,.143,1.30,.333,70.0%,84,33,52,3.52,1.43,2.09,2.29,3.00,2023,238,NYM,0,1,3.52,8,0,0,0,0,3,0,7.2,34,4,3,3,0,6,0,0,0,0,16,2023,3.75
13,Victor Vodnik,COL,12.46,3.12,4.00,0.00,27.3%,6.8%,20.5%,.366,2.08,.517,50.0%,168,33,52,8.31,1.52,6.78,2.29,2.66,2023,760,COL,1,0,8.31,6,0,0,0,0,0,0,8.2,44,15,9,8,0,3,0,0,0,0,12,2023,8.78048780487805
14,Jacob deGrom,TEX,13.35,1.19,11.25,0.59,39.1%,3.5%,35.7%,.171,0.76,.266,59.4%,62,35,54,2.67,1.54,1.13,2.32,2.24,2023,118,TEX,2,0,2.67,6,6,0,0,0,0,0,30.1,115,19,11,9,2,4,0,0,1,0,45,2023,2.691029900332226
15,Jonathan Schoop,DET,6.75,0.00,1.00,0.00,20.0%,0.0%,20.0%,.200,0.75,.250,100.0%,0,41,99,0.00,1.76,-1.76,4.24,3.97,2023,7,DET,0,0,0.00,1,0,0,0,0,0,0,1.1,5,1,0,0,0,0,0,0,0,0,1,2023,0.0
16,Jeffrey Springs,TBR,13.50,2.25,6.00,0.56,43.6%,7.3%,36.4%,.078,0.50,.115,100.0%,14,44,45,0.56,1.82,-1.26,1.94,2.23,2023,45,TBR,2,0,0.56,3,3,0,0,0,0,0,16.0,55,4,1,1,1,4,0,0,0,0,24,2023,0.5625
17,Tejay Antone,CIN,11.12,3.18,3.50,0.00,33.3%,9.5%,23.8%,.158,0.88,.250,80.0%,34,40,55,1.59,1.84,-0.26,2.43,2.71,2023,60,CIN,0,0,1.59,5,1,0,0,0,1,0,5.2,21,3,1,1,0,2,0,0,0,0,7,2023,1.7307692307692306
18,Packy Naughton,STL,9.00,1.80,5.00,0.00,29.4%,5.9%,23.5%,.125,0.60,.182,100.0%,0,43,65,0.00,1.86,-1.86,2.85,2.62,2023,34,STL,0,0,0.00,4,0,0,0,0,0,0,5.0,17,2,0,0,0,1,0,0,0,0,5,2023,0.0
19,Felix Bautista,BAL,16.23,3.84,4.23,0.59,46.4%,11.0%,35.4%,.144,0.92,.274,84.0%,35,44,54,1.48,1.88,-0.40,2.30,2.06,2023,56,BAL,8,2,1.48,56,0,0,0,33,1,6,61.0,237,30,14,10,4,26,0,2,7,0,110,2023,1.4754098360655739
20,Luke Little,CHC,16.20,5.40,3.00,0.00,40.0%,13.3%,26.7%,.200,1.35,.385,100.0%,0,44,61,0.00,1.91,-1.91,2.65,2.86,2023,43,CHC,0,0,0.00,7,0,0,0,0,0,0,6.2,30,5,0,0,0,4,0,1,1,0,12,2023,0.0
21,Adam Kolarek,- - -,10.50,1.50,7.00,0.00,31.8%,4.5%,27.3%,.100,0.50,.154,100.0%,0,44,63,0.00,1.92,-1.92,2.75,2.28,2023,6,- - -,0,0,0.00,5,0,0,0,0,0,0,6.0,22,2,0,0,0,1,0,1,0,0,7,2023,0.0
